Cooperativa.Id,Cooperativa.nombre_coop,Cooperativa.telefono_coop
1,UNACOOP R.L.,22535580
2,UNIBANC R.L.,22837909
3,URCOZON R.L.,24601365
4,UNIVIVIENDA R.L,22837909
5,CCC-CA,22404641
6,INFOCOOP,22562944
7,REDICOOP R.L.,22809500
8,COOCAFE R.L.,22446311
9,FECOOPSE R.L.,22562472
10,COOPEMEP R.L.,22950600
11,COOPEAGROPAL R.L.,27800000
12,COOCIQUE R.L.,24011500
13,COOPEALIANZA R.L.,27853000
14,COOPEANDE NO.1 R.L.,22430303
15,COOPEMAPRO R.L.,26800061
16,COOPESA R.L.,24372828
17,COONAPROSAL A&C R.L.,25200110
18,COOPEPROSA R.L.,26789003
19,CONAPROSAL PROD. SAL,25200110
20,COOPEMONTECILLOS R.L.,24371300
21,LA CATALINA R.L.,22697445
22,COOPESALUD R.L.,22316044
23,COOPECAJA R.L.,25421000
24,COOPELESCA,24012828
25,COOPROLE R.L.,24583166
26,COOPEVICTORIA,24446346
27,COOPEGUANACASTE R.L.,26814700
28,COOPESANTOS R.L.,25462525
29,COOPENARANJO R.L.,24500138
30,COOPEBANPO R.L.,22125400
31,FENACOOTAXI R.L.,22535193